Char: V	Index: 0	Distance: 21
Char: J	Index: 1	Distance: 8
Char: K	Index: 2	Distance: 8
Char: W	Index: 3	Distance: 19
Char: E	Index: 4	Distance: 0
Char: X	Index: 5	Distance: 18
Char: m	Index: 6	Distance: 6
Char: n	Index: 7	Distance: 6
Char: Y	Index: 8	Distance: 16
Char: Z	Index: 9	Distance: 16
Char: a	Index: 10	Distance: -10
Char: M	Index: 11	Distance: 1
Char: L	Index: 12	Distance: -1
Char: F	Index: 13	Distance: -8
Char: G	Index: 14	Distance: -8
Char: H	Index: 15	Distance: -8
Char: i	Index: 16	Distance: -8
Char: U	Index: 17	Distance: 3
Char: S	Index: 18	Distance: 0
Char: b	Index: 19	Distance: -18
Char: R	Index: 20	Distance: -3
Char: P	Index: 21	Distance: -6
Char: T	Index: 22	Distance: -3
Char: Q	Index: 23	Distance: -7
Char: g	Index: 24	Distance: -18
Char: h	Index: 25	Distance: -18
Char: v	Index: 26	Distance: -5
Char: u	Index: 27	Distance: -7
Char: c	Index: 28	Distance: -26
Char: N	Index: 29	Distance: -16
Char: O	Index: 30	Distance: -16
Char: t	Index: 31	Distance: -12
Char: d	Index: 32	Distance: -29
Char: j	Index: 33	Distance: -24
Char: A	Index: 34	Distance: -34
Char: B	Index: 35	Distance: -34
Char: e	Index: 36	Distance: -32
Char: f	Index: 37	Distance: -32
Char: k	Index: 38	Distance: -28
Char: C	Index: 39	Distance: -37
Char: t	Index: 40	Distance: -21
Char: r	Index: 41	Distance: -24
Char: t	Index: 42	Distance: -23
Char: D	Index: 43	Distance: -40
Char: p	Index: 44	Distance: -29
Char: l	Index: 45	Distance: -34
Char: s	Index: 46	Distance: -28
Char: v	Index: 47	Distance: -26
